Категория,Подкатегория,"Наименование (марка, ширина, размеры, полка, диаметр)","Хар-ка (размер, диаметр, толщина, стенка, ширина, длина, полка)",Единица измерения,Цена
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,Ст65Г н/обр,2,т,162550
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,Ст65Г н/обр,4 | 5| 6| 8| 10| 12,т,132070
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,Ст65Г н/обр,14 | 16,т,111750
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,Ст65Г н/обр,20,т,121910
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,Ст65Г н/обр.,3,т,162550
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,Ст65Г н/обр.,5,т,132070
Цветной прокат,БРОНЗОВЫЙ КРУГ,БрАЖ9-4,16 | 18| 20| 22| 25| 28| 30| 32| 34| 35| 38| 40| 42| 45| 48| 50| 55| 60| 65| 70| 75| 80| 85| 90| 95| 100| 110| 120| 130| 140| 160,т,1182624
Цветной прокат,БРОНЗОВЫЙ КРУГ,БРАЖМц10-3-1.5,16 | 18| 20| 25| 30| 35| 40| 45| 50| 55| 60| 65| 70| 75| 80| 85| 90| 100| 110| 120| 130| 140| 150| 160,т,1196848
Цветной прокат,БРОНЗОВЫЙ КРУГ,БрОФ10-1,30 | 40| 50| 60| 70| 80| 90| 100| 110| 120| 130| 140| 150,т,2001520
Цветной прокат,БРОНЗОВЫЙ КРУГ,БрОФ7-0.2,30 | 40| 50| 60| 70| 80| 90| 100| 110| 120| 130| 150,т,2001520
Цветной прокат,БРОНЗОВЫЙ КРУГ,БрОЦС5-5-5,20 | 25,т,1178560
Цветной прокат,БРОНЗОВЫЙ КРУГ,БрОЦС5-5-5,30 | 35| 40| 45| 50| 55| 60| 65| 70| 75| 80| 85| 90| 95| 100| 110| 120| 130| 140,т,1168400
Цветной прокат,БРОНЗОВЫЙ КРУГ,БрОЦС5-5-5,150 | 160| 170| 180| 190| 200,т,1178560
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,В95,110 | 130| 170| 180| 200| 220,т,700024
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,В95 РТ-Техприемка,120 | 130| 140| 150| 160| 170| 180| 190| 200| 210| 220| 230| 240| 250,т,706120
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,В95Т1,30,т,1099312
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,В95Т1,140,т,717296
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,В95Т1 РТ-Техприемка,160 | 200,т,724408
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,В95Т1пч,65,т,1109472
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,Д16,10 | 12,т,1275080
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,Д16,15 | 20,т,1130808
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,Д16,35 | 65| 75| 95| 100,т,968248
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,Д16,105,т,501904
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,Д16,110,т,493776
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,Д16,115,т,501904
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,Д16,120,т,493776
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,Д16,120 | 125,т,501904
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,Д16,130,т,493776
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,Д16,135,т,501904
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,Д16,140,т,493776
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,Д16,145,т,501904
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,Д16,150 | 160| 170| 180| 190| 200| 210| 220| 230,т,493776
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,Д16,240,т,501904
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,Д16,250,т,493776
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,Д16,260 | 270| 280| 290,т,575056
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,Д16,300,т,590296
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,Д16,310,т,642112
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,Д16,320,т,620776
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,Д16,330,т,642112
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,Д16,340,т,620776
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,Д16,350 | 400,т,642112
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,Д16 РТ-Техприемка,120 | 150| 160| 190| 200| 220| 240,т,517144
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,Д16 РТ-Техприемка,270 | 300,т,600456
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,Д16 РТ-Техприемка,350 | 400,т,654304
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,Д16Т,12 | 14,т,1304544
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,Д16Т,17,т,1158240
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,Д16Т,28 | 30| 32| 35| 38| 40| 45| 55| 60| 65| 70| 75| 80| 95| 100,т,992632
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,Д16Т,105 | 110,т,518160
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,Д16Т,120,т,508000
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,Д16Т,125 | 130| 135,т,518160
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,Д16Т,140,т,508000
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,Д16Т,145,т,518160
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,Д16Т,150,т,508000
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,Д16Т,155 | 160,т,518160
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,Д16Т,170,т,508000
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,Д16Т,180 | 190,т,518160
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,Д16Т,200,т,508000
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,Д16Т,210 | 220| 230| 240,т,518160
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,Д16Т,250,т,508000
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,Д16Т П,35,т,1012952
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,Д16Т РТ-Техприемка,110 | 120| 130| 135| 150,т,533400
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,Д1Т Повышенная точность,14,т,1330960
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,2024 T351 (Д16т),20 | 22| 25| 26,т,741680
Цветной прокат,ДЮРАЛЕВЫЙ КРУГ,2024 T351 (Д16т),28 | 30| 32| 35| 36| 38| 40| 45| 48| 50| 52| 55| 60| 65| 70| 75| 80| 90| 100,т,670560
Нержавейка,СТАЛЬ СОРТ НЕРЖ НИКЕЛ ШЕСТИГРАННИК,12Х18Н10Т AISI 321,8,т,506984
Нержавейка,СТАЛЬ СОРТ НЕРЖ НИКЕЛ ШЕСТИГРАННИК,12Х18Н10Т AISI 321,10,т,493776
Нержавейка,СТАЛЬ СОРТ НЕРЖ НИКЕЛ ШЕСТИГРАННИК,12Х18Н10Т AISI 321,12 | 13,т,486664
Нержавейка,СТАЛЬ СОРТ НЕРЖ НИКЕЛ ШЕСТИГРАННИК,12Х18Н10Т AISI 321,14 | 17| 17| 19| 19,т,493776
Нержавейка,СТАЛЬ СОРТ НЕРЖ НИКЕЛ ШЕСТИГРАННИК,12Х18Н10Т AISI 321,22 | 24| 27,т,486664
Нержавейка,СТАЛЬ СОРТ НЕРЖ НИКЕЛ ШЕСТИГРАННИК,12Х18Н10Т AISI 321,30 | 32| 32| 41| 46| 46,т,493776
Нержавейка,СТАЛЬ СОРТ НЕРЖ НИКЕЛ ШЕСТИГРАННИК,12Х18Н10Т AISI 321,50 | 55| 60| 60| 65| 65| 70| 70,т,522224
Нержавейка,СТАЛЬ СОРТ НЕРЖ НИКЕЛ ШЕСТИГРАННИК,AISI 304 (08Х18Н10),10 | 12| 14| 17,т,395224
Нержавейка,СТАЛЬ СОРТ НЕРЖ НИКЕЛ ШЕСТИГРАННИК,AISI 304 (08Х18Н10),19,т,403352
Нержавейка,СТАЛЬ СОРТ НЕРЖ НИКЕЛ ШЕСТИГРАННИК,AISI 304 (08Х18Н10),22 | 24,т,398272
Нержавейка,СТАЛЬ СОРТ НЕРЖ НИКЕЛ ШЕСТИГРАННИК,AISI 304 (08Х18Н10),27,т,397256
Нержавейка,СТАЛЬ СОРТ НЕРЖ НИКЕЛ ШЕСТИГРАННИК,AISI 304 (08Х18Н10),30,т,398272
Нержавейка,СТАЛЬ СОРТ НЕРЖ НИКЕЛ ШЕСТИГРАННИК,AISI 304 (08Х18Н10),32,т,406400
Нержавейка,СТАЛЬ СОРТ НЕРЖ НИКЕЛ ШЕСТИГРАННИК,AISI 304 (08Х18Н10),36,т,405384
Нержавейка,СТАЛЬ СОРТ НЕРЖ НИКЕЛ ШЕСТИГРАННИК,AISI 304 (08Х18Н10),41 | 46| 50,т,406400
Нержавейка,СТАЛЬ СОРТ НЕРЖ НИКЕЛ ШЕСТИГРАННИК,AISI 316L,17 | 24| 27,т,567944
Нержавейка,СТАЛЬ СОРТ НЕРЖ НИКЕЛ ШЕСТИГРАННИК,AISI 316L,30,т,619760
Нержавейка,СТАЛЬ СОРТ НЕРЖ НИКЕЛ ШЕСТИГРАННИК,AISI 316L,32 | 41,т,567944
Нержавейка,СТАЛЬ СОРТ НЕРЖ НИКЕЛ ШЕСТИГРАННИК,AISI 431,24 | 27| 30,т,390144
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,57 09Г2С,3|5,т,178806
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,57 09Г2С 09Г2С,4 | 6,т,178806
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,57 Ст09Г2С 09Г2С,5,т,178806
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,57 Ст10,12 | 14,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,57 Ст20,3|5 | 4| 4|5| 5| 6| 7| 8,т,173726
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,57 Ст20,12 | 14,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,60 09Г2С Ст09Г2С,4,т,178806
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,60 Ст10,8,т,173726
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,60 Ст10,14,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,60 Ст20,3|5 | 5| 6| 8,т,173726
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,60 Ст20,10 | 12| 14,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,60 Ст45 Ст45,14,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,63.5 Ст10,8,т,173726
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,63.5 Ст10,10 | 12,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,63.5 Ст20,5 | 6| 8,т,173726
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,63.5 Ст20,10 | 12| 14,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,63.5 Ст45 Ст45,12,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,68 Ст20,4 | 5| 6| 8,т,173726
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,68 Ст20,10 | 12| 14,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,70 Ст10,10 | 16,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,70 Ст20,8,т,173726
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,70 Ст20,10 | 12| 14| 16,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,73 Ст20,4 | 5| 6| 8,т,173726
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,73 Ст20,10 | 12| 14| 16| 19,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,73 Ст45 Ст45,19,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,76 09Г2С 09Г2С,4,т,178806
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,76 Ст10,4 | 8,т,173726
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,76 Ст10,10 | 12,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,76 Ст20,3|5 | 4| 5| 6| 7| 8,т,173726
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,76 Ст20,10 | 12| 14| 15| 16| 18,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,76 Ст35 Ст35,10,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,76 Ст45 Ст45,14 | 16,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,83 Ст20,4 | 6| 8,т,173726
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,83 Ст20,10 | 12| 14| 16| 18| 20,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,89 09Г2С 09Г2С,3|5 | 4| 5| 6,т,178806
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,89 09Г2С 09Г2С,10,т,163566
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,89 Ст10,9 | 10| 12,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,89 Ст20,3|5 | 4| 4|5| 5| 6| 7| 8,т,173726
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,89 Ст20,9 | 10| 12| 14| 15| 16| 18| 20| 22| 24,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,89 Ст35 Ст35,15,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,89 Ст45 Ст45,12,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,95 Ст20,8,т,173726
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,95 Ст20,10 | 12| 14| 16| 18| 20| 22| 24,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,102 Ст10,6,т,173726
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,102 Ст10,10,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,102 Ст20,4 | 5| 6| 8,т,173726
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,102 Ст20,10 | 12| 14| 16| 18| 20| 22| 24| 28,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,102 Ст35 Ст35,20,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,108 09Г2С 09Г2С,4,т,178806
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,108 09Г2С 09Г2С,6,т,163566
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,108 Ст10,8 | 14,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,108 Ст20,4|5 | 5| 7| 8| 10| 12| 14| 16| 18| 20| 22| 25| 28| 30,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,108 Ст35 Ст35,16,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,108 Ст45 Ст45,14 | 20,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,114 09Г2С 09Г2С,5 | 6,т,163566
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,114 Ст10,7 | 9,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,114 Ст20,4 | 5| 6| 9| 10| 12| 14| 16| 18| 20| 22| 25| 28,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,114 Ст35 Ст35,18 | 20,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,114 Ст45 Ст45,20,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,121 Ст10,8,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,121 Ст20,5 | 6| 8| 10| 12| 14| 16| 18| 20| 22| 24| 25| 28,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,127 Ст10,5 | 6| 8| 10,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,127 Ст20,4 | 5| 6| 8| 10| 12| 14| 16| 18| 20| 22| 25| 28| 30,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,127 Ст20,35,т,132080
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,127 Ст20 Ст20,24,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,127 Ст45 Ст45,16 | 30,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,133 Ст10,6 | 7| 8| 10,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,133 Ст20,4 | 5| 6| 7| 8| 10| 12| 16| 18| 20| 25| 28| 30| 32| 36,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,133 Ст35 Ст35,20 | 32,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,133 Ст45 Ст45,20,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,140 Ст20,5 | 6| 8| 10| 12| 14| 16| 18| 20| 22| 24| 25| 28| 30| 32| 36,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,140 Ст45 Ст45,22,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,146 Ст20,5 | 6| 8| 10| 12| 14| 16| 18| 20| 28| 30| 32| 36,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,152 Ст10,5 | 8| 10,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,152 Ст20,5 | 6| 8| 10| 12| 14| 16| 18| 20| 22| 25| 28| 30| 32| 36| 40,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,159 09Г2С 09Г2С,4|5 | 5| 6| 8,т,163566
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,159 Ст10,6,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,159 Ст20,4|5 | 5| 6| 7| 8| 10| 12| 14| 16| 18| 20| 22| 25| 28| 30| 32| 36,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,159 Ст35 Ст35,25 | 36,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,168 Ст10,7 | 8| 10| 25,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,168 Ст20,5 | 6| 7| 8| 10| 12| 14| 18| 20| 22| 25| 28| 30| 32| 36| 40| 45,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,168 Ст35 Ст35,25 | 28| 36,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,168 Ст45 Ст45,40 | 45,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,180 Ст20,6 | 8| 10| 14| 16| 18| 20| 22| 24| 25| 28| 30| 32| 36| 40| 45,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,180 Ст35 Ст35,40,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,180 Ст45 Ст45,45,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,194 Ст10,8,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,194 Ст20,6 | 8| 10| 12| 15| 16| 18| 20| 22| 25| 28| 30| 32| 36| 40| 45| 50,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,194 Ст35 Ст35,40,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,203 Ст20,8 | 10| 12| 14| 18| 20| 25| 30| 32| 36| 40| 45| 50,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,203 Ст45 Ст45,25 | 50,т,158486
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,219 09Г2С 09Г2С,6,т,173726
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,219 09Г2С 09Г2С,8 | 10,т,163566
Трубы,ТРУБЫ Г-Д (катаные нефтепров) ГОСТ8732-78,219 Ст10,12,т,158486
