Категория,Подкатегория,"Наименование (марка, ширина, размеры, полка, диаметр)","Хар-ка (размер, диаметр, толщина, стенка, ширина, длина, полка)",Единица измерения,Цена
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,30ХГСА н/обр,50,т,142230
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,30ХГСА обр,20 | 30| 32,т,142230
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,40Х,10 | 12| 16,т,111750
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,40Х,20 | 25| 30,т,121910
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,40Х,80,т,152390
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,40Х н/обр,4,т,121910
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,40Х н/обр,6 | 10,т,111750
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,40Х н/обр,50,т,121910
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,40Х н/обр,60,т,132070
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,40Х обр,12,т,111750
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,40Х обр,20 | 25,т,121910
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,Ст08Ю н/обр,4 | 5,т,101590
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,Ст20,3 | 4| 5| 8| 10| 12| 14| 16,т,72126
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,Ст20,20 | 25| 30| 36| 40| 50,т,88382
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,Ст20,130,т,121910
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,Ст20 н/обр,2 | 3| 4| 5| 6| 8| 10,т,72126
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,Ст20 н/обр,25,т,88382
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,Ст20 н/обр,60,т,109718
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,Ст20 н/обр,70 | 80| 90| 100| 110| 120| 140,т,121910
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,Ст20 обр,12,т,83302
